<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20210127;200000;266.6300000
SBER;60;20210127;210000;267.3700000
SBER;60;20210127;220000;267.2800000
SBER;60;20210127;230000;266.0000000
SBER;60;20210128;000000;265.5000000
SBER;60;20210128;110000;262.7700000
SBER;60;20210128;120000;262.2200000
SBER;60;20210128;130000;263.5900000
SBER;60;20210128;140000;263.5200000
SBER;60;20210128;150000;263.0600000
SBER;60;20210128;160000;263.7100000
SBER;60;20210128;170000;266.5800000
SBER;60;20210128;180000;266.2100000
SBER;60;20210128;190000;264.6800000
SBER;60;20210128;200000;264.7600000
SBER;60;20210128;210000;265.7400000
SBER;60;20210128;220000;266.2900000
SBER;60;20210128;230000;265.8900000
SBER;60;20210129;000000;265.9600000
SBER;60;20210129;110000;262.2100000
SBER;60;20210129;120000;261.7600000
SBER;60;20210129;130000;260.8600000
SBER;60;20210129;140000;261.5800000
SBER;60;20210129;150000;261.4000000
SBER;60;20210129;160000;261.0300000
SBER;60;20210129;170000;260.2300000
SBER;60;20210129;180000;259.4500000
SBER;60;20210129;190000;258.4200000
SBER;60;20210129;200000;258.4400000
SBER;60;20210129;210000;257.9000000
SBER;60;20210129;220000;258.1100000
SBER;60;20210129;230000;258.1900000
SBER;60;20210130;000000;258.1100000
SBER;60;20210201;110000;260.8600000
SBER;60;20210201;120000;261.3400000
SBER;60;20210201;130000;261.5000000
SBER;60;20210201;140000;261.2700000
SBER;60;20210201;150000;262.0500000
SBER;60;20210201;160000;262.7100000
SBER;60;20210201;170000;263.1900000
SBER;60;20210201;180000;262.3900000
SBER;60;20210201;190000;262.2400000
SBER;60;20210201;200000;262.6600000
SBER;60;20210201;210000;262.8900000
SBER;60;20210201;220000;263.2400000
SBER;60;20210201;230000;263.7300000
SBER;60;20210202;000000;263.8000000
SBER;60;20210202;110000;264.4000000
SBER;60;20210202;120000;264.3500000
SBER;60;20210202;130000;265.4500000
SBER;60;20210202;140000;266.8700000
SBER;60;20210202;150000;265.2000000
SBER;60;20210202;160000;266.5300000
SBER;60;20210202;170000;267.4500000
SBER;60;20210202;180000;267.9000000
SBER;60;20210202;190000;267.0000000
SBER;60;20210202;200000;265.9000000
SBER;60;20210202;210000;264.5000000
SBER;60;20210202;220000;264.5700000
SBER;60;20210202;230000;263.6000000
SBER;60;20210203;000000;263.1500000
SBER;60;20210203;110000;265.4000000
SBER;60;20210203;120000;266.0000000
SBER;60;20210203;130000;264.9700000
SBER;60;20210203;140000;265.2600000
SBER;60;20210203;150000;264.5700000
SBER;60;20210203;160000;263.2500000
SBER;60;20210203;170000;263.1600000
SBER;60;20210203;180000;262.3400000
SBER;60;20210203;190000;261.5500000
SBER;60;20210203;200000;262.2500000
SBER;60;20210203;210000;262.4500000
SBER;60;20210203;220000;263.3800000
SBER;60;20210203;230000;263.2400000
SBER;60;20210204;000000;263.5300000
SBER;60;20210204;110000;264.6200000
SBER;60;20210204;120000;266.8600000
SBER;60;20210204;130000;266.3400000
SBER;60;20210204;140000;266.4800000
SBER;60;20210204;150000;265.8800000
SBER;60;20210204;160000;266.0900000
SBER;60;20210204;170000;267.6700000
SBER;60;20210204;180000;269.1500000
SBER;60;20210204;190000;268.3400000
SBER;60;20210204;200000;268.9200000
SBER;60;20210204;210000;268.7500000
SBER;60;20210204;220000;269.0700000
SBER;60;20210204;230000;269.5800000
SBER;60;20210205;000000;270.1100000
SBER;60;20210205;110000;269.8000000
SBER;60;20210205;120000;270.6800000
SBER;60;20210205;130000;271.6100000
SBER;60;20210205;140000;271.3500000
SBER;60;20210205;150000;269.7300000
SBER;60;20210205;160000;269.9700000
SBER;60;20210205;170000;270.7200000
SBER;60;20210205;180000;270.8700000
SBER;60;20210205;190000;271.5500000
SBER;60;20210205;200000;270.8200000
SBER;60;20210205;210000;271.5100000
SBER;60;20210205;220000;271.6600000
SBER;60;20210205;230000;271.2700000
SBER;60;20210206;000000;271.7000000
SBER;60;20210208;110000;275.0000000
SBER;60;20210208;120000;274.1400000
SBER;60;20210208;130000;273.7000000
SBER;60;20210208;140000;273.7600000
SBER;60;20210208;150000;273.7000000
SBER;60;20210208;160000;273.1200000
SBER;60;20210208;170000;273.6400000
SBER;60;20210208;180000;274.2000000
SBER;60;20210208;190000;274.7700000
SBER;60;20210208;200000;274.6000000
SBER;60;20210208;210000;274.8400000
SBER;60;20210208;220000;274.7600000
SBER;60;20210208;230000;275.1100000
SBER;60;20210209;000000;275.2000000
SBER;60;20210209;110000;274.3200000
SBER;60;20210209;120000;271.7800000
SBER;60;20210209;130000;270.4000000
SBER;60;20210209;140000;270.3900000
SBER;60;20210209;150000;270.1100000
SBER;60;20210209;160000;271.0800000
SBER;60;20210209;170000;269.6200000
SBER;60;20210209;180000;268.8400000
SBER;60;20210209;190000;267.9100000
SBER;60;20210209;200000;268.3400000
SBER;60;20210209;210000;268.7700000
SBER;60;20210209;220000;268.6500000
SBER;60;20210209;230000;268.7400000
SBER;60;20210210;000000;268.9800000
SBER;60;20210210;110000;269.8900000
SBER;60;20210210;120000;267.8000000
SBER;60;20210210;130000;267.9900000
SBER;60;20210210;140000;268.6700000
SBER;60;20210210;150000;268.7300000
SBER;60;20210210;160000;268.6000000
SBER;60;20210210;170000;268.9600000
SBER;60;20210210;180000;267.4000000
SBER;60;20210210;190000;265.5300000
SBER;60;20210210;200000;266.6700000
SBER;60;20210210;210000;266.4100000
SBER;60;20210210;220000;266.5100000
SBER;60;20210210;230000;267.1000000
SBER;60;20210211;000000;265.9000000
SBER;60;20210211;110000;264.8200000
SBER;60;20210211;120000;265.5100000
SBER;60;20210211;130000;265.6300000
SBER;60;20210211;140000;265.1500000
SBER;60;20210211;150000;264.2900000
SBER;60;20210211;160000;264.9200000
SBER;60;20210211;170000;264.5500000
SBER;60;20210211;180000;264.6100000
SBER;60;20210211;190000;265.1000000
SBER;60;20210211;200000;265.1700000
SBER;60;20210211;210000;264.6100000
SBER;60;20210211;220000;265.0000000
SBER;60;20210211;230000;264.9000000
SBER;60;20210212;000000;264.7000000
SBER;60;20210212;110000;262.2600000
SBER;60;20210212;120000;259.4400000
SBER;60;20210212;130000;260.8600000
SBER;60;20210212;140000;260.7200000
SBER;60;20210212;150000;260.3500000
SBER;60;20210212;160000;260.9800000
SBER;60;20210212;170000;261.0000000
SBER;60;20210212;180000;262.1000000
SBER;60;20210212;190000;264.0000000
SBER;60;20210212;200000;265.4500000
SBER;60;20210212;210000;265.1100000
SBER;60;20210212;220000;265.4000000
SBER;60;20210212;230000;265.3800000
SBER;60;20210213;000000;266.0000000
SBER;60;20210215;110000;268.0000000
SBER;60;20210215;120000;268.1600000
SBER;60;20210215;130000;268.7100000
SBER;60;20210215;140000;268.0500000
SBER;60;20210215;150000;268.5900000
SBER;60;20210215;160000;268.6800000
SBER;60;20210215;170000;269.0300000
SBER;60;20210215;180000;270.2300000
SBER;60;20210215;190000;270.1800000
